Canonical Smiles,Standard Type,Standard Value,Standard Units,pChEMBL Value,#Ro5 Violations,Molecular Weight,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,ALogP
Oc1ccccc1c2ccc(C#N)c(c2)C(F)(F)F,IC50,0.02,nM,10.7,0,263.22,,,,,3.95
CCC(C)N(C)c1cc(c(cn1)C#N)C(F)(F)F,IC50,7,nM,8.15,0,257.26,31.7,0.62,4.94,20.43,3.21
CC1(C)NC(=O)N(C1=O)c2ccc(C#N)c(c2)C(F)(F)F,IC50,6,nM,8.22,0,297.24,27.66,0.53,5.81,11.23,2.41
CC1CCNc2cc3OC(=O)C=C(c3cc12)C(F)(F)F,IC50,1,nM,9,0,283.25,31.77,0.61,5.27,21.31,3.73
[O-][N+](=O)c1ccc(NC(CC(=O)c2ccc(Cl)cc2)c3occc3)cc1,IC50,2.9,nM,8.54,1,370.79,23.03,0.45,3.27,10,5.27
CC[C@H]1C[C@]2(C)[C@@H](O)CCC2C3CCC4=CC(=O)CCC4=C13,IC50,2,nM,8.7,0,300.44,28.95,0.54,4.51,23.32,4.19
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)c5ccc(cc5)N(C)C,IC50,2.2,nM,8.66,1,429.6,20.15,0.37,3.25,21.36,5.41
CCCOC(=O)N1C[C@@]2(C)O[C@@](C)(C1)[C@H]3[C@@H]2C(=O)N(C3=O)c4ccc(C#N)c(c4)C(F)(F)F,IC50,9.3,nM,8.03,0,465.43,,,,,3.09
C[C@](O)(COc1ccc(cc1F)C#N)C(=O)N2CCc3c(cccc23)C#N,IC50,3.2,nM,8.49,0,365.36,23.25,0.43,6.2,8.73,2.29
C[C@](O)(COc1ccc(Br)cc1)C(=O)N2CCc3c(cccc23)C#N,IC50,2.4,nM,8.62,0,401.26,21.48,0.47,5.58,11.72,3.04
CC(=O)O[C@@]1(CCC2C3C=C(Cl)C4=CC(=O)[C@@H]5CC5[C@]4(C)C3CC[C@]12C)C(=O)C,IC50,4.7,nM,8.33,0,416.95,19.97,0.39,3.72,13.78,4.61
CC1(C)NC(=O)N(C1=O)c2ccc(c(c2)C(F)(F)F)[N+](=O)[O-],IC50,9,nM,8.05,0,317.22,25.36,0.5,5.6,8.69,2.45
CCCCCCCCCC[C@H]1C[C@]2(C)[C@@H](O)CCC2C3CCC4=CC(=O)CCC4=C13,IC50,0.8,nM,9.1,1,412.66,22.04,0.41,1.79,24.39,7.31
C[C@]12CCC3C(CCC4=CC(=O)CC[C@]34C=C)C1CC[C@@H]2O,IC50,7.9,nM,8.1,0,300.44,26.97,0.5,4.05,21.72,4.05
CC1(C)CCc2cc3C(=CC(=O)Oc3cc2N1)C(F)(F)F,IC50,1,nM,9,0,297.28,30.27,0.59,5.05,21.31,3.95
Oc1ccccc1c2ccc(C#N)c(c2)C(F)(F)F,IC50,0.02,nM,10.7,0,263.22,,,,,3.95
CCOc1ccc2OC(=O)c3c(ccc4NC(=O)C=C(C)c34)c2c1OC,IC50,10,nM,8,0,351.36,22.77,0.42,4.5,9.81,3.5
COc1c(O)ccc2OC(=O)c3c(ccc4NC(=O)C=C(C)c34)c12,IC50,0.2,nM,9.7,0,323.3,30,0.55,6.89,10.48,2.81
[O-][N+](=O)c1ccc(cc1C(F)(F)F)N2C(=O)[C@@H]3[C@@H]4CC[C@@H](C4)[C@@H]3C2=O,IC50,10,nM,8,0,354.28,,,,,3.15
FC(F)(F)C1CCNc2cc3OC(=O)C=C(c3cc12)C(F)(F)F,IC50,2,nM,8.7,0,337.22,25.8,0.52,4.43,20.59,4.27
CCC1CCc2cc3C(=CC(=O)Oc3cc2N1)C(F)(F)F,IC50,1,nM,9,0,297.28,30.27,0.59,5.05,21.31,3.95
Cc1cc(c(C)n1Cc2ccccc2)c3ccc(cc3)[N+](=O)[O-],IC50,6.7,nM,8.17,0,306.37,26.68,0.49,3.44,17,4.73
Cc1nn(c(C)c1Cc2ccc(F)cc2)c3ccc(C#N)c(c3)C(F)(F)F,IC50,1.4,nM,8.85,1,373.35,23.71,0.45,3.74,21.28,5.11
FC(F)(F)CN(CC(F)(F)F)c1ccc2NC(=O)C=Cc2c1,IC50,1,nM,9,0,324.22,,,,,3.46
CC1(C)CCCN1c2ccc(C#N)c3ccccc23,IC50,7,nM,8.15,0,250.34,32.58,0.59,4.06,30.17,4.09
[O-][N+](=O)c1ccc(N2CCCC2)c3ccccc13,IC50,2.5,nM,8.6,0,242.28,35.5,0.65,5.25,18.55,3.35
CC[C@H]1CCCN1c2ccc(C#N)c3ccccc23,IC50,1.1,nM,8.96,0,250.34,35.79,0.64,4.87,33.14,4.09
CC(C)[C@H]1CCCN1c2ccc(C#N)c3ccccc23,IC50,1.4,nM,8.85,0,264.37,33.49,0.6,4.51,32.76,4.34
C[C@H]1[C@H](O)CCN1c2ccc(C#N)c3ccccc23,IC50,2.4,nM,8.62,0,252.32,34.16,0.62,5.95,18.24,2.67
C[C@]12CC[C@H]3[C@@H](CC[C@H]4CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O,IC50,1.82,nM,8.74,0,290.45,30.09,0.57,4.78,23.43,3.96
CC[C@@H]1[C@H](C)CNc2cc3OC(=O)C=C(c3cc12)C(F)(F)F,IC50,2,nM,8.7,0,311.3,27.94,0.54,4.33,20.59,4.37
Cc1ccc(cc1C)N2C(=O)[C@@H]3C4CC(C=C4)[C@@H]3C2=O,IC50,10,nM,8,0,267.33,,,,,2.61
Cc1cccc(C)c1Oc2ccc(C#N)c(c2)C(F)(F)F,IC50,10,nM,8,0,291.27,27.47,0.52,3.01,24.23,4.99
CC1=CC(=O)Nc2ccc3c(C(=O)Oc4cccc(C(=O)OC(C)(C)C)c34)c12,IC50,1.9,nM,8.72,0,377.4,23.11,0.43,4.67,9.76,4.05
COc1ccc2OC(=O)c3c(ccc4NC(=O)C=C(C)c34)c2c1,IC50,0.8,nM,9.1,0,307.31,29.6,0.54,6,12.58,3.1
COc1ccc(cc1)c2ccc(C#N)c(c2)C(F)(F)F,IC50,0.8,nM,9.1,0,277.25,,,,,4.25
COC[C@@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)c5ccc(\C=N\O)cc5)OC,IC50,6.1,nM,8.21,1,449.59,18.27,0.34,2.78,12.06,5.43
C[C@]12CN(C[C@](C)(O1)[C@H]3[C@@H]2C(=O)N(C3=O)c4ccc(C#N)c(c4)C(F)(F)F)c5cccc(c5)S(=O)(=O)C,IC50,7.4,nM,8.13,1,533.53,,,,,3.15
CC1(C)N(CCCS(=O)(=O)N)C(=S)N(C1=O)c2ccc(C#N)c(Cl)c2,IC50,10,nM,8,0,400.91,,,,,1.6
OC1=CC(=O)Nc2ccc(cc12)N(CC(F)(F)F)CC(F)(F)F,IC50,7,nM,8.15,0,340.22,,,,,3.16
CC(C)C1=CC(=O)Nc2ccc(cc12)N(CC(F)(F)F)CC(F)(F)F,IC50,2,nM,8.7,0,366.31,,,,,4.58
FC(F)(F)C1=CC(=O)Oc2cc3NCCC(c3cc12)C(F)(F)C(F)(F)F,IC50,5,nM,8.3,0,387.23,21.44,0.44,3.39,19.65,4.91
CC1(C)CNc2cc3nc(O)cc(c3cc12)C(F)(F)F,IC50,10,nM,8,0,282.26,,,,,3.66
CCCCCCCC[C@H]1C[C@]2(C)[C@@H](O)CCC2C3CCC4=CC(=O)CCC4=C13,IC50,6.6,nM,8.18,1,384.6,21.27,0.4,1.65,21.93,6.53
OC(C=C)(c1nc2cc(Cl)c(Cl)cc2[nH]1)C(F)(F)F,IC50,7,nM,8.15,0,311.09,26.21,0.59,4.34,16.67,3.81
CC12C[C@H](O)C(C)(O1)[C@H]3[C@@H]2C(=O)N(C3=O)c4ccc(C#N)c(I)c4,IC50,10,nM,8,0,438.22,,,,,1.58
CCC1Nc2cc3OC(=O)C=C(c3cc2CC1C)C(F)(F)F,IC50,7,nM,8.15,0,311.3,26.2,0.51,3.96,19.31,4.19
COC[C@@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)c5ccc(\C=N\O)cc5)OC,IC50,9,nM,8.05,1,449.59,,,,,5.43
COc1c(O)ccc2OCc3c(ccc4NC(=O)C=C(C)c34)c12,IC50,1.2,nM,8.92,0,309.32,28.84,0.53,5.81,12.47,3.11
CC12CCC(C)(O1)[C@H]3[C@@H]2C(=O)N(C3=O)c4ccc(C#N)c(c4)C(F)(F)F,IC50,7,nM,8.15,0,364.32,,,,,3.02
CCCCC[C@H]1C[C@]2(C)[C@@H](O)CCC2C3CCC4=CC(=O)CCC4=C13,IC50,0.1,nM,10,1,342.52,29.2,0.55,4.64,26.81,5.36
CCCCCCCC[C@H]1C[C@]2(C)[C@@H](O)CCC2C3CCC4=CC(=O)CCC4=C13,IC50,0.9,nM,9.05,1,384.6,23.52,0.44,2.52,24.25,6.53
CCCCCCCCCCCC[C@H]1C[C@]2(C)[C@@H](O)CCC2C3CCC4=CC(=O)CCC4=C13,IC50,0.2,nM,9.7,1,440.71,22.01,0.41,1.61,26,8.09
CC1(C)NC(=O)N(C1=O)c2ccc(C#N)c(c2)C(F)(F)F,IC50,6,nM,8.22,0,297.24,27.66,0.53,5.81,11.23,2.41
CC(C)C(O)(c1nc2cc(Cl)c(Cl)cc2[nH]1)C(F)(F)F,IC50,2,nM,8.7,0,327.13,26.59,0.59,4.42,17.79,4.28
CCCN(CC1CC1)c2cc(c(cn2)C#N)C(F)(F)F,IC50,0.8,nM,9.1,0,283.3,32.11,0.62,5.5,22.79,3.6
CC[C@H]1[C@H](C)CNc2cc3OC(=O)C=C(c3cc12)C(F)(F)F,IC50,0.3,nM,9.52,0,311.3,30.59,0.59,5.15,22.54,4.37
FC(F)(F)c1cc(ccc1C#N)c2ccccc2Cl,IC50,9.8,nM,8.01,0,281.66,28.43,0.58,3.11,33.66,4.9
Cc1nn(c(C)c1Cc2ccc(F)cc2)c3ccc(C#N)c(Cl)c3,IC50,0.47,nM,9.33,0,339.8,27.45,0.53,4.59,22.42,4.74
FC(F)(F)c1cccc(c1)N2C(=O)[C@@H]3C4CCC(C=C4)[C@@H]3C2=O,IC50,0.4,nM,9.4,0,321.3,,,,,3.41
CCCCN(C)c1cc(c(cn1)C#N)C(F)(F)F,IC50,3.8,nM,8.42,0,257.26,32.73,0.64,5.21,21.09,3.21
CCC1CC(CC)c2cc3C(=CC(=O)Oc3cc2N1)C(F)(F)F,IC50,7,nM,8.15,0,325.33,25.07,0.48,3.25,19.31,4.9
CCC1CCNc2cc3OC(=O)C=C(c3cc12)C(F)(F)F,IC50,1,nM,9,0,297.28,30.27,0.59,4.88,21.31,4.12
COc1c(ccc2OC(=O)c3c(ccc4NC(=O)C=C(C)c34)c12)C(=O)OC(F)(F)F,IC50,0.2,nM,9.7,0,419.31,23.13,0.44,5.92,9.84,3.78
CC12CCC(C)(O1)[C@H]3[C@@H]2C(=O)N(C3=O)c4ccc(C#N)c(I)c4,IC50,7,nM,8.15,0,422.22,,,,,2.61
CCCC1CCNc2cc3OC(=O)C=C(c3cc12)C(F)(F)F,IC50,5,nM,8.3,0,311.3,26.67,0.52,3.79,19.65,4.51
C[C@H]1[C@@H](O)CCN1c2ccc(C#N)c(Cl)c2C,IC50,0.72,nM,9.14,0,250.73,36.46,0.73,6.66,19.35,2.48
CC[C@H]1[C@@H](O)CC(=O)N1c2ccc(C#N)c(c2)C(F)(F)F,IC50,3.6,nM,8.44,0,298.26,28.31,0.55,5.99,13.13,2.45
CN1CCN(CC1)OC(=O)N[C@@H]2C[C@@]3(C)O[C@]2(C)[C@H]4[C@@H]3C(=O)N(C4=O)c5ccc(C#N)c(c5)C(F)(F)F,IC50,6,nM,8.22,1,521.5,15.77,0.3,6.33,7.14,1.89
CC1=CC(=O)Nc2ccc3c(COc4cccc(CO)c34)c12,IC50,0.3,nM,9.52,0,293.32,32.47,0.59,6.63,15.28,2.89
COc1c(OC(C)C)ccc2OC(=O)c3c(ccc4NC(=O)C=C(C)c34)c12,IC50,2.8,nM,8.55,0,365.39,23.41,0.43,4.66,10.49,3.89
CC[C@H]1[C@@H](O)CC(=O)N1c2ccc(C#N)c(OC)c2,IC50,9.2,nM,8.04,0,260.29,30.87,0.58,6.6,10.92,1.44
C[C@H]1[C@@H](O)[C@H](Cc2ccccc2)C(=O)N1c3ccc(C#N)c(Cl)c3,IC50,6,nM,8.22,0,340.81,24.12,0.47,5.05,12.78,3.17
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O,IC50,2.7,nM,8.57,0,288.43,29.71,0.56,4.69,22.97,3.88
CO[C@H]1[C@@H]2[C@@H](O)CCN2N=C1c3ccc(C#N)c(Cl)c3C,IC50,0.7,nM,9.15,0,305.76,29.94,0.6,7.46,13.3,1.69
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O,IC50,4.27,nM,8.37,0,288.43,29.02,0.54,4.49,22.44,3.88
CCCC(C)N1CC(C)(C)C(Oc2ccc(C#N)c(c2)C(F)(F)F)C1=O,IC50,6,nM,8.22,0,368.4,,,,,4.38
C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@]12C,IC50,7,nM,8.15,0,284.4,28.67,0.53,4.43,21.86,3.72
Oc1cccc2OCc3c(ccc4NC(=O)C=C(c34)C(F)(F)F)c12,IC50,1.1,nM,8.96,0,333.26,26.88,0.51,5.15,14.38,3.81
Cc1c(C#N)c(c(C)n1Cc2ccccc2)c3ccc(cc3)C#N,IC50,1.4,nM,8.85,0,311.39,28.43,0.5,4.29,16.86,4.56
C[C@H]1CC2[C@H](CC[C@@]3(C)[C@H]2CC[C@]3(CC(=O)C)C(=O)C)[C@@]4(C)CCC(=O)C=C14,IC50,6.1,nM,8.21,1,384.56,,,,,5.32
C[C@@H]1Cc2cc3c(cc(O)nc3cc2N1)C(F)(F)F,IC50,7,nM,8.15,0,268.24,,,,,3.32
C[C@]12CC[C@H]3[C@@H](CC[C@H]4CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O,IC50,10,nM,8,0,290.45,27.54,0.52,4.04,21.45,3.96
C[C@]12CC[C@H]3[C@@H](CC[C@H]4CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O,IC50,1,nM,9,0,290.45,30.99,0.59,5.04,24.13,3.96
C[C@]12CC[C@H]3[C@@H](CC[C@H]4CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O,IC50,2.1,nM,8.68,0,290.45,29.88,0.56,4.72,23.26,3.96
COc1cc(SC(C)C)ccc1C#N,IC50,10,nM,8,0,207.3,,,,,3.07
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C=C)[C@@H]1CC[C@@H]2O,IC50,7.9,nM,8.1,0,300.44,26.97,0.5,4.05,21.72,4.05
CN1[C@@H]2CC[C@H]3[C@@H]4CC[C@H](O)[C@@]4(C)CC[C@@H]3[C@@]2(C)C=CC1=O,IC50,7,nM,8.15,0,303.45,26.87,0.51,5.16,20.12,2.99
